Sim time (min), Sim time (max), Sim time (ave), Cnv time (min), Cnv time (max), Cnv time (ave), Vis time (min), Vis time (max), Vis time (ave)
0.407506, 0.408454, 0.407642, 0.043273, 0.044213, 0.0440798, 6e-06, 7e-06, 6.875e-06
0.405087, 0.405146, 0.405118, 0.043132, 0.043172, 0.043155, 7e-06, 1e-05, 7.625e-06
0.400262, 0.401242, 0.400407, 0.042088, 0.04306, 0.042915, 6e-06, 7e-06, 6.875e-06
0.400604, 0.400662, 0.400632, 0.042984, 0.043043, 0.0430242, 6e-06, 8e-06, 6.625e-06
0.402638, 0.402695, 0.402665, 0.043091, 0.043135, 0.0431167, 6e-06, 1e-05, 6.875e-06
0.388463, 0.388514, 0.388487, 0.043033, 0.043075, 0.0430555, 6e-06, 8e-06, 6.875e-06
0.40706, 0.407112, 0.407085, 0.043101, 0.043143, 0.0431245, 7e-06, 1e-05, 8.125e-06
0.401181, 0.402186, 0.401328, 0.042352, 0.043352, 0.043204, 6e-06, 8e-06, 6.875e-06
0.398656, 0.398716, 0.398685, 0.043066, 0.043131, 0.0431065, 6e-06, 8e-06, 7e-06
0.401007, 0.401062, 0.401034, 0.043069, 0.043106, 0.0430918, 7e-06, 8e-06, 7.5e-06
0.401729, 0.402689, 0.401876, 0.042497, 0.043437, 0.0433057, 6e-06, 8e-06, 6.75e-06
0.403222, 0.403273, 0.403246, 0.043146, 0.043184, 0.0431695, 6e-06, 7e-06, 6.25e-06
0.409165, 0.409249, 0.4092, 0.042843, 0.042913, 0.0428891, 6e-06, 7e-06, 6.875e-06
0.402484, 0.403429, 0.402621, 0.042505, 0.043437, 0.0433086, 6e-06, 8e-06, 7e-06
0.396708, 0.397949, 0.396887, 0.042711, 0.043937, 0.0437685, 5e-06, 8e-06, 6.875e-06
0.414745, 0.414841, 0.414791, 0.044734, 0.044816, 0.0447817, 7e-06, 1e-05, 8e-06
0.399701, 0.399752, 0.399726, 0.04312, 0.043154, 0.0431409, 7e-06, 8e-06, 7.375e-06
0.407583, 0.407688, 0.407618, 0.042998, 0.043089, 0.0430646, 6e-06, 7e-06, 6.625e-06
0.397369, 0.397435, 0.397403, 0.042937, 0.042985, 0.0429635, 6e-06, 7e-06, 6.625e-06
0.393566, 0.393648, 0.3936, 0.042891, 0.042962, 0.0429369, 6e-06, 7e-06, 6.75e-06
0.399947, 0.400924, 0.400088, 0.043166, 0.044133, 0.0439988, 6e-06, 8e-06, 6.875e-06
0.409133, 0.410057, 0.409273, 0.042907, 0.043816, 0.0436879, 6e-06, 7e-06, 6.5e-06
0.406553, 0.406611, 0.406582, 0.043661, 0.043704, 0.0436856, 5e-06, 9e-06, 6.875e-06
0.394119, 0.395169, 0.394276, 0.042433, 0.043462, 0.0433235, 6e-06, 7e-06, 6.5e-06
0.407694, 0.408654, 0.40784, 0.042298, 0.043246, 0.0431063, 6e-06, 7e-06, 6.375e-06
0.411293, 0.411337, 0.411313, 0.043338, 0.043382, 0.043359, 7e-06, 7e-06, 7e-06
0.404636, 0.404694, 0.404663, 0.043671, 0.043719, 0.0436987, 6e-06, 8e-06, 7.375e-06
0.39821, 0.398272, 0.398242, 0.043207, 0.043252, 0.0432321, 6e-06, 8e-06, 7.125e-06
0.389531, 0.390482, 0.389669, 0.042427, 0.043372, 0.0432345, 6e-06, 8e-06, 6.375e-06
0.395518, 0.396599, 0.395796, 0.043505, 0.044573, 0.044303, 6e-06, 8e-06, 7.125e-06
0.39649, 0.396574, 0.396524, 0.04307, 0.043139, 0.0431145, 5e-06, 8e-06, 7.5e-06
0.400207, 0.400304, 0.400241, 0.043007, 0.043092, 0.0430601, 6e-06, 8e-06, 7e-06
0.398199, 0.398279, 0.39823, 0.042953, 0.043021, 0.0429966, 6e-06, 8e-06, 7.375e-06
0.398156, 0.39914, 0.398303, 0.042091, 0.043064, 0.0429234, 6e-06, 7e-06, 6.75e-06
0.41432, 0.414398, 0.414348, 0.043091, 0.043166, 0.0431379, 6e-06, 8e-06, 7e-06
0.405805, 0.405875, 0.405838, 0.043596, 0.043653, 0.0436284, 205.455, 205.47, 205.457
0.428929, 0.430446, 0.429147, 0.045398, 0.046932, 0.0467161, 6e-06, 7e-06, 6.5e-06
0.38083, 0.380869, 0.380846, 0.043553, 0.043585, 0.0435717, 6e-06, 8e-06, 6.75e-06
0.376316, 0.37638, 0.376346, 0.043456, 0.043507, 0.0434845, 7e-06, 8e-06, 7.5e-06
0.376023, 0.376086, 0.376053, 0.04347, 0.043536, 0.0435129, 6e-06, 8e-06, 7e-06
0.375816, 0.37588, 0.375844, 0.043598, 0.043669, 0.0436424, 6e-06, 7e-06, 6.375e-06
0.375931, 0.375968, 0.375949, 0.043604, 0.043641, 0.0436212, 6e-06, 7e-06, 6.125e-06
0.376167, 0.376242, 0.376202, 0.04369, 0.043758, 0.0437255, 6e-06, 7e-06, 6.625e-06
0.375985, 0.376048, 0.376014, 0.043604, 0.043657, 0.0436336, 6e-06, 7e-06, 6.875e-06
