Time step, Pipe time (min), Pipe time (max), Pipe time (ave), Rend time (min), Rend time (max), Rend time (ave), Save time (min), Save time (max), Save time (ave), Comp time (min), Comp time (max), Comp time (ave)
110, 0.001883, 0.003338, 0.00259975, 0.029073, 0.424658, 0.125802, 0, 0.014667, 0.0018335, 0.002038, 0.398399, 0.298595
120, 0.001774, 0.00333, 0.002603, 0.029349, 0.392377, 0.124259, 0, 0.014759, 0.001845, 0.001834, 0.360931, 0.268255
130, 0.001706, 0.003454, 0.00262313, 0.029159, 0.428418, 0.134578, 0, 0.014644, 0.00183075, 0.002029, 0.400908, 0.294742
140, 0.001663, 0.003487, 0.00223387, 0.028596, 0.416688, 0.120683, 0, 0.014792, 0.00184913, 0.00184, 0.391269, 0.296463
150, 0.001643, 0.002767, 0.00216425, 0.029381, 0.416007, 0.125188, 0, 0.014769, 0.00184613, 0.002032, 0.387522, 0.290105
160, 0.001704, 0.003253, 0.00248313, 0.02933, 0.393623, 0.119887, 0, 0.01466, 0.00183263, 0.001844, 0.367063, 0.274229
170, 0.001672, 0.003301, 0.00207763, 0.029467, 0.435276, 0.121698, 0, 0.014779, 0.00184788, 0.002547, 0.40847, 0.314161
180, 0.001655, 0.003377, 0.00213775, 0.02959, 0.481488, 0.12916, 0, 0.014654, 0.00183213, 0.002692, 0.456188, 0.353954
190, 0.001651, 0.002776, 0.00213725, 0.029572, 0.349363, 0.113268, 0, 0.014766, 0.00184588, 0.002027, 0.322555, 0.235896
10, 0.001834, 0.003019, 0.00252712, 0.030135, 0.393046, 0.128032, 0, 0.014799, 0.00185, 0.00186, 0.349923, 0.265247
20, 0.001804, 0.003324, 0.0024615, 0.030766, 0.470061, 0.135294, 0, 0.014753, 0.00184438, 0.002046, 0.440914, 0.334651
30, 0.001638, 0.003338, 0.0026695, 0.029207, 0.421963, 0.128442, 0, 0.014822, 0.00185287, 0.00183, 0.395491, 0.293828
40, 0.001633, 0.003315, 0.00243263, 0.029369, 0.423869, 0.123978, 0, 0.014701, 0.001838, 0.002072, 0.397712, 0.300736
50, 0.001708, 0.002612, 0.00211287, 0.029948, 0.354486, 0.115096, 0, 0.014831, 0.00185388, 0.002047, 0.323016, 0.238965
60, 0.001725, 0.003257, 0.00250662, 0.028614, 0.428932, 0.12339, 0, 0.014839, 0.00185538, 0.001855, 0.402988, 0.306234
70, 0.001651, 0.003382, 0.00231938, 0.029298, 0.511497, 0.13644, 0, 0.015028, 0.00187863, 0.002035, 0.485913, 0.376308
80, 0.001673, 0.003329, 0.00228925, 0.029351, 0.509626, 0.134181, 0, 0.014714, 0.00183938, 0.002037, 0.482218, 0.37614
90, 0.001697, 0.003129, 0.002303, 0.029429, 0.350544, 0.113953, 0, 0.01468, 0.00183525, 0.002016, 0.323207, 0.235852
100, 0.001671, 0.003282, 0.00241925, 0.028994, 0.417546, 0.123928, 0, 0.014664, 0.00183338, 0.001839, 0.391386, 0.293656
110, 0.001693, 0.003652, 0.00233663, 0.029613, 0.41141, 0.126982, 0, 0.014937, 0.00186725, 0.001836, 0.38171, 0.285093
120, 0.00165, 0.003334, 0.00201138, 0.029715, 0.349249, 0.111363, 0, 0.014775, 0.001847, 0.002033, 0.323038, 0.239499
130, 0.001677, 0.003332, 0.00219738, 0.02932, 0.386158, 0.118119, 0, 0.014831, 0.001854, 0.001838, 0.358699, 0.268828
140, 0.001673, 0.002764, 0.00209537, 0.029249, 0.41148, 0.125847, 0, 0.014779, 0.00184763, 0.001842, 0.383995, 0.285225
150, 0.001697, 0.003384, 0.0022415, 0.02959, 0.410437, 0.129901, 0, 0.015003, 0.00187563, 0.002033, 0.367347, 0.281227
160, 0.001664, 0.003302, 0.00226775, 0.029322, 0.468594, 0.130529, 0, 0.015015, 0.00187687, 0.002025, 0.441334, 0.339192
170, 0.001652, 0.003318, 0.00244588, 0.029381, 0.432032, 0.129724, 0, 0.014912, 0.00186413, 0.001999, 0.403815, 0.302803
